"","name","sex","total"
"402","Manuel","M",39341
"403","Briana","F",38705
"404","London","F",38435
"405","Aliyah","F",38398
"406","Angel","F",38369
"407","Ariel","F",38369
"408","Cesar","M",38342
"409","Erick","M",38235
"410","Quinn","F",37906
"411","Dalton","M",37881
"412","Reese","F",37759
"413","Tucker","M",37756
"414","Christina","F",37710
"415","Brielle","F",37684
"416","Kathryn","F",37537
"417","Mario","M",37520
"418","Emmett","M",37242
"419","Laura","F",37094
"420","Miranda","F",37036
"421","Alana","F",36884
"422","Kinsley","F",36881
"423","Kylee","F",36776
"424","Kate","F",36744
"425","Giselle","F",36672
"426","Laila","F",36623
"427","Kingston","M",36613
"428","Cayden","M",36569
"429","Damien","M",36180
"430","Edwin","M",36112
"431","Shawn","M",36058
"432","Abel","M",35920
"433","Josue","M",35880
"434","Raymond","M",35830
"435","Edgar","M",35741
"436","Melody","F",35636
"437","Amir","M",35491
"438","Mikayla","F",35459
"439","Elise","F",35418
"440","Brendan","M",35401
"441","Dawson","M",35375
"442","Hadley","F",35294
"443","Julianna","F",35251
"444","Amaya","F",35186
"445","Hope","F",35104
"446","Johnathan","M",35079
"447","Makenzie","F",35072
"448","Clayton","M",34973
"449","Israel","M",34962
"450","Myles","M",34944
"451","Zane","M",34882
"452","Isla","F",34858
"453","Hector","M",34755
"454","Alicia","F",34695
"455","Jayce","M",34651
"456","Zion","M",34621
"457","Adeline","F",34534
"458","Ashlyn","F",34475
"459","Eden","F",34364
"460","Martin","M",34347
"461","Kelsey","F",34313
"462","Erik","M",34292
"463","Cheyenne","F",34096
"464","Breanna","F",34023
"465","Gael","M",33990
"466","Sabrina","F",33981
"467","Cassidy","F",33808
"468","Andre","M",33774
"469","Leilani","F",33720
"470","Lyla","F",33668
"471","Griffin","M",33652
"472","Braden","M",33378
"473","Xander","M",33240
"474","Donovan","M",33147
"475","Jaylen","M",32866
"476","Trenton","M",32639
"477","Alaina","F",32600
"478","Brooklynn","F",32475
"479","Alexia","F",32414
"480","Ryker","M",32264
"481","Sergio","M",32157
"482","Lorenzo","M",32156
"483","Maggie","F",32139
"484","Eliza","F",32124
"485","Delaney","F",32116
"486","Jillian","F",32065
"487","Cecilia","F",32046
"488","Courtney","F",31904
"489","Ximena","F",31837
"490","Gregory","M",31808
"491","Marco","M",31798
"492","Rose","F",31774
"493","Mckenna","F",31701
"494","Rowan","M",31351
"495","Graham","M",31327
